Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
7327,nokia_e51_ver1_sub11003420,nokia_e51_ver1,Nokia,E51,,NULL,NULL,NULL,4,0,0,0,4,0,0,Symbian OS,9.2,2007_september,Safari
7327,nokia_e51_ver1_sub11003420,nokia_e51_ver1,Nokia,E51,,3,NULL,CLICKTAG,6,0,0,0,6,0,0,Symbian OS,9.2,2007_september,Safari
7334,nokia_n70_ver1_funny_ua,nokia_n70_ver1,Nokia,N70,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,,2005_april,Nokia
7476,nokia_e90_ver1_safari_074012,nokia_e90_ver1_safari,Nokia,E90 Communicator,Communicator,3,3,CLICKTAG,2,0,0,0,2,2,2,Symbian OS,9.2,2007_february,Safari
7476,nokia_e90_ver1_safari_074012,nokia_e90_ver1_safari,Nokia,E90 Communicator,Communicator,3,NULL,CLICKTAG,3,0,0,0,3,0,0,Symbian OS,9.2,2007_february,Safari
7476,nokia_e90_ver1_safari_074012,nokia_e90_ver1_safari,Nokia,E90 Communicator,Communicator,NULL,NULL,NULL,4,0,0,0,4,0,0,Symbian OS,9.2,2007_february,Safari
7483,nokia_n73_ver1_sub40735302,nokia_n73_ver1,Nokia,N73,,9,NULL,JAVA_APP,15,0,0,0,15,0,0,Symbian OS,9.1,2005_november,Nokia
7483,nokia_n73_ver1_sub40735302,nokia_n73_ver1,Nokia,N73,,NULL,NULL,NULL,83,0,0,0,83,0,0,Symbian OS,9.1,2005_november,Nokia
7483,nokia_n73_ver1_sub40735302,nokia_n73_ver1,Nokia,N73,,3,NULL,CLICKTAG,66,0,0,0,66,0,0,Symbian OS,9.1,2005_november,Nokia
7489,nokia_n81_ver1_sub100053,nokia_n81_ver1_sub100026,Nokia,N81,,3,NULL,CLICKTAG,1,0,0,0,1,0,0,Symbian OS,9.2,2007_august,Safari
7489,nokia_n81_ver1_sub100053,nokia_n81_ver1_sub100026,Nokia,N81,,NULL,NULL,NULL,2,0,0,0,2,0,0,Symbian OS,9.2,2007_august,Safari
